subpath_name;asset_id;city
7M3CoAzAtB53C3yc65dU-121_7M3CoAzAtB53C3yc65dU-125;10AZMACPA001;mam-beijing
7M3CoAzAtB53C3yc65dU-124_7M3CoAzAtB53C3yc65dU-126;10AZMSHCPA002;mam-beijing
7M3CoAzAtB53C3yc65dU-123_7M3CoAzAtB53C3yc65dU-128;10AZMCCPA001;mam-beijing
7M3CoAzAtB53C3yc65dU-122_7M3CoAzAtB53C3yc65dU-127;10AZMBCPA001;mam-beijing
7M3CoAzAtB53C3yc65dU-128_7M3CoAzAtB53C3yc65dU-131;10AZMSHCPA010;mam-beijing
7M3CoAzAtB53C3yc65dU-126_7M3CoAzAtB53C3yc65dU-130;10AZMSHCPA004;mam-beijing
7M3CoAzAtB53C3yc65dU-142_7M3CoAzAtB53C3yc65dU-150;10AZMNPCPA010;mam-beijing
7M3CoAzAtB53C3yc65dU-143_7M3CoAzAtB53C3yc65dU-151;10AZMPPL036;mam-beijing
7M3CoAzAtB53C3yc65dU-144_7M3CoAzAtB53C3yc65dU-153;10AZMSPPL011;mam-beijing
7M3CoAzAtB53C3yc65dU-145_7M3CoAzAtB53C3yc65dU-152;10AZMSPPL001;mam-beijing
7M3CoAzAtB53C3yc65dU-167_7M3CoAzAtB53C3yc65dU-163;10AZMACPA001;mam-beijing
7M3CoAzAtB53C3yc65dU-168_7M3CoAzAtB53C3yc65dU-164;10AZMSHCPA002;mam-beijing
7M3CoAzAtB53C3yc65dU-169_7M3CoAzAtB53C3yc65dU-165;10AZMCCPA001;mam-beijing
7M3CoAzAtB53C3yc65dU-170_7M3CoAzAtB53C3yc65dU-166;10AZMBCPA001;mam-beijing
7M3CoAzAtB53C3yc65dU-173_7M3CoAzAtB53C3yc65dU-169;10AZMSHCPA010;mam-beijing
7M3CoAzAtB53C3yc65dU-172_7M3CoAzAtB53C3yc65dU-168;10AZMSHCPA004;mam-beijing
7M3CoAzAtB53C3yc65dU-193_7M3CoAzAtB53C3yc65dU-183;10AZMNPCPA010;mam-beijing
7M3CoAzAtB53C3yc65dU-194_7M3CoAzAtB53C3yc65dU-184;10AZMNPCPA001;mam-beijing
7M3CoAzAtB53C3yc65dU-196_7M3CoAzAtB53C3yc65dU-185;10AZMSPPL011;mam-beijing
7M3CoAzAtB53C3yc65dU-195_7M3CoAzAtB53C3yc65dU-186;10AZMSPPL001;mam-beijing
7VU011VjFJ8jQbve6knV-120_7VU011VjFJ8jQbve6knV-125;10SYJSH135LED004;mam-beijing
7VU011VjFJ8jQbve6knV-121_7VU011VjFJ8jQbve6knV-126;10SYJSHCPA019;mam-beijing
7VU011VjFJ8jQbve6knV-122_7VU011VjFJ8jQbve6knV-127;10SYJGCPA001;mam-beijing
7VU011VjFJ8jQbve6knV-127_7VU011VjFJ8jQbve6knV-124;10SYJSHCPA013;mam-beijing
7VU011VjFJ8jQbve6knV-126_7VU011VjFJ8jQbve6knV-124;10SYJSHCPA013;mam-beijing
7VU011VjFJ8jQbve6knV-125_7VU011VjFJ8jQbve6knV-123;10SYJSHPILLA001;mam-beijing
7VU011VjFJ8jQbve6knV-134_7VU011VjFJ8jQbve6knV-138;10SYJPPL001;mam-beijing
7VU011VjFJ8jQbve6knV-135_7VU011VjFJ8jQbve6knV-139;10SYJPPL013;mam-beijing
7VU011VjFJ8jQbve6knV-189_7VU011VjFJ8jQbve6knV-186;10SYJSHPILLA001;mam-beijing
7VU011VjFJ8jQbve6knV-186_7VU011VjFJ8jQbve6knV-183;10SYJSH135LED004;mam-beijing
7VU011VjFJ8jQbve6knV-190_7VU011VjFJ8jQbve6knV-187;10SYJSHCPA013;mam-beijing
7VU011VjFJ8jQbve6knV-190_7VU011VjFJ8jQbve6knV-188;10SYJSHCPA013;mam-beijing
