asset_id;hour_from;hour_to;station_id
01BJYLYPPL040;6:00;22:00;102
01BJYLYPPL041;6:00;22:00;102
01BJYLYPPL042;6:00;22:00;102
01BJYLYPPL043;6:00;22:00;102
01BJYLYPPL044;6:00;22:00;102
01BJYLYPPL045;6:00;22:00;102
01BJYLYPPL046;6:00;22:00;102
01BJYLYPPL047;6:00;22:00;102
01BJYLYPPL048;6:00;22:00;102
01BJYLYPPL049;6:00;22:00;102
01BJYLYPPL050;6:00;22:00;102
01BJYLYPPL051;6:00;22:00;102
01BJYLYPPL052;6:00;22:00;102
01BJYLYPPL053;6:00;22:00;102
01BJYLYPPL054;6:00;22:00;102
01BBSPPL001;6:00;22:00;103
01BBSPPL002;6:00;22:00;103
01BBSPPL003;6:00;22:00;103
01BBSPPL004;6:00;22:00;103
01BBSPPL005;6:00;22:00;103
01BBSPPL006;6:00;22:00;103
01BBSPPL007;6:00;22:00;103
01BBSPPL008;6:00;22:00;103
01BBSPPL009;6:00;22:00;103
01BBSPPL010;6:00;22:00;103
01BBSPPL011;6:00;22:00;103
01BBSPPL012;6:00;22:00;103
01BBSPPL013;6:00;22:00;103
01BBSPPL014;6:00;22:00;103
01BBSPPL015;6:00;22:00;103
01BBSPPL016;6:00;22:00;103
01BBSPPL017;6:00;22:00;103
01BBSPPL018;6:00;22:00;103
01BBSPPL019;6:00;22:00;103
01BBSPPL020;6:00;22:00;103
01BBSPPL021;6:00;22:00;103
01BBSPPL022;6:00;22:00;103
01BBSPPL023;6:00;22:00;103
01BBSPPL024;6:00;22:00;103
01YQLPPL001;6:00;22:00;104
01YQLPPL002;6:00;22:00;104
01YQLPPL003;6:00;22:00;104
01YQLPPL004;6:00;22:00;104
01YQLPPL005;6:00;22:00;104
01YQLPPL006;6:00;22:00;104
01YQLPPL007;6:00;22:00;104
01YQLPPL008;6:00;22:00;104
01YQLPPL009;6:00;22:00;104
01YQLPPL010;6:00;22:00;104
01YQLPPL011;6:00;22:00;104
01YQLPPL012;6:00;22:00;104
01YQLPPL013;6:00;22:00;104
01YQLPPL014;6:00;22:00;104
01YQLPPL015;6:00;22:00;104
01YQLPPL016;6:00;22:00;104
01YQLPPL017;6:00;22:00;104
01YQLPPL018;6:00;22:00;104
01YQLPPL019;6:00;22:00;104
01YQLPPL020;6:00;22:00;104
01YQLPPL021;6:00;22:00;104
01YQLPPL022;6:00;22:00;104
01YQLPPL023;6:00;22:00;104
01YQLPPL024;6:00;22:00;104
01YQLPPL025;6:00;22:00;104
01YQLPPL026;6:00;22:00;104
01YQLPPL027;6:00;22:00;104
01YQLPPL028;6:00;22:00;104
01YQLACP001;6:00;22:00;104
01YQLACP002;6:00;22:00;104
01YQLACP003;6:00;22:00;104
01YQLACP004;6:00;22:00;104
01YQLDCP001;6:00;22:00;104
01YQLDCP002;6:00;22:00;104
01YQLDCP003;6:00;22:00;104
01YQLDCP004;6:00;22:00;104
01YQLBCP001;6:00;22:00;104
01YQLBCP002;6:00;22:00;104
01YQLBCP003;6:00;22:00;104
01YQLBCP004;6:00;22:00;104
01YQLCCP001;6:00;22:00;104
01YQLCCP002;6:00;22:00;104
01YQLCCP003;6:00;22:00;104
01YQLCCP004;6:00;22:00;104
01WKSPPL001;6:00;22:00;105
01WKSPPL002;6:00;22:00;105
01WKSPPL003;6:00;22:00;105
01WKSPPL004;6:00;22:00;105
01WKSPPL005;6:00;22:00;105
01WKSPPL006;6:00;22:00;105
01WKSPPL007;6:00;22:00;105
01WKSPPL008;6:00;22:00;105
01WKSPPL009;6:00;22:00;105
01WKSPPL010;6:00;22:00;105
01WKSPPL011;6:00;22:00;105
01WKSPPL012;6:00;22:00;105
01WKSPPL013;6:00;22:00;105
01WKSPPL014;6:00;22:00;105
01WKSPPL015;6:00;22:00;105
01WKSPPL016;6:00;22:00;105
01WKSPPL017;6:00;22:00;105
01WKSPPL018;6:00;22:00;105
01WKSPPL019;6:00;22:00;105
01WKSPPL020;6:00;22:00;105
01WKSPPL021;6:00;22:00;105
01WKSPPL022;6:00;22:00;105
01WKSPPL023;6:00;22:00;105
01WKSPPL024;6:00;22:00;105
01WKSPPL025;6:00;22:00;105
01WKSPPL026;6:00;22:00;105
01WKSPPL027;6:00;22:00;105
01WKSPPL028;6:00;22:00;105
01WKSACP001;6:00;22:00;105
01WKSACP002;6:00;22:00;105
01WKSACP003;6:00;22:00;105
01WKSACP004;6:00;22:00;105
01WKSACP005;6:00;22:00;105
01WKSACP006;6:00;22:00;105
01WKSACP007;6:00;22:00;105
01WKSACP008;6:00;22:00;105
01WKSACP009;6:00;22:00;105
01WKSDCP001;6:00;22:00;105
01WKSDCP002;6:00;22:00;105
01WKSDCP003;6:00;22:00;105
01WKSDCP004;6:00;22:00;105
01WKSDCP005;6:00;22:00;105
01WKSDCP006;6:00;22:00;105
01WKSBCP001;6:00;22:00;105
01WKSBCP002;6:00;22:00;105
01WKSBCP003;6:00;22:00;105
01WKSBCP004;6:00;22:00;105
01WKSBCP005;6:00;22:00;105
01WKSBCP006;6:00;22:00;105
01WKSCCP001;6:00;22:00;105
01WKSCCP002;6:00;22:00;105
01WSLPPL001;6:00;22:00;106
01WSLPPL002;6:00;22:00;106
01WSLPPL003;6:00;22:00;106
01WSLPPL004;6:00;22:00;106
01WSLPPL005;6:00;22:00;106
01WSLPPL006;6:00;22:00;106
01WSLPPL007;6:00;22:00;106
01WSLPPL008;6:00;22:00;106
01WSLPPL009;6:00;22:00;106
01WSLPPL010;6:00;22:00;106
01WSLPPL011;6:00;22:00;106
01WSLPPL012;6:00;22:00;106
01WSLPPL013;6:00;22:00;106
01WSLPPL014;6:00;22:00;106
01WSLPPL015;6:00;22:00;106
01WSLPPL016;6:00;22:00;106
01WSLPPL017;6:00;22:00;106
01WSLPPL018;6:00;22:00;106
01WSLPPL019;6:00;22:00;106
01WSLPPL020;6:00;22:00;106
01WSLPPL021;6:00;22:00;106
01WSLPPL022;6:00;22:00;106
01WSLPPL023;6:00;22:00;106
01WSLPPL024;6:00;22:00;106
01WSLPPL025;6:00;22:00;106
01WSLPPL026;6:00;22:00;106
01WSLPPL027;6:00;22:00;106
01WSLPPL028;6:00;22:00;106
01WSLACP001;6:00;22:00;106
01WSLACP002;6:00;22:00;106
01WSLACP003;6:00;22:00;106
01WSLACP004;6:00;22:00;106
01WSLDCP001;6:00;22:00;106
01WSLDCP002;6:00;22:00;106
01WSLDCP003;6:00;22:00;106
01WSLBCP001;6:00;22:00;106
01WSLBCP002;6:00;22:00;106
01WSLBCP003;6:00;22:00;106
01WSLBCP004;6:00;22:00;106
01WSLCCP001;6:00;22:00;106
01WSLCCP002;6:00;22:00;106
01WSLCCP003;6:00;22:00;106
01WSLCCP004;6:00;22:00;106
01GZFPPL001;6:00;22:00;107
01GZFPPL002;6:00;22:00;107
01GZFPPL003;6:00;22:00;107
01GZFPPL004;6:00;22:00;107
01GZFPPL005;6:00;22:00;107
01GZFPPL006;6:00;22:00;107
01GZFPPL007;6:00;22:00;107
01GZFPPL008;6:00;22:00;107
01GZFPPL009;6:00;22:00;107
01GZFPPL010;6:00;22:00;107
01GZFPPL011;6:00;22:00;107
