station_id;year;month;departure;arrival
519;2022;2;504891;504891
519;2022;3;570516;570516
519;2022;4;531765;531765
519;2022;5;526728;526728
519;2022;6;519931.5;519931.5
519;2021;7;541168;541168
519;2021;8;687498.5;687498.5
519;2021;9;644891.5;644891.5
519;2021;10;633587;633587
519;2021;11;668881;668881
519;2021;12;682649.5;682649.5
520;2022;1;1004815;1004815
520;2022;2;741421;741421
520;2022;3;834601.5;834601.5
520;2022;4;778253.5;778253.5
520;2022;5;771492.5;771492.5
520;2022;6;755552.5;755552.5
520;2021;7;786313.5;786313.5
520;2021;8;1069484;1069484
520;2021;9;977909;977909
520;2021;10;963447;963447
520;2021;11;1012404.5;1012404.5
520;2021;12;1020689.5;1020689.5
521;2022;1;548489.5;548489.5
521;2022;2;404191.5;404191.5
521;2022;3;460319.5;460319.5
521;2022;4;434175;434175
521;2022;5;431945;431945
521;2022;6;415180;415180
521;2021;7;435273;435273
521;2021;8;590047;590047
521;2021;9;538968;538968
521;2021;10;532453;532453
521;2021;11;574396.5;574396.5
521;2021;12;586429.5;586429.5
522;2022;1;1286134.5;1286134.5
522;2022;2;977308;977308
522;2022;3;1125328;1125328
522;2022;4;1046025.5;1046025.5
522;2022;5;1048177;1048177
522;2022;6;1018483.5;1018483.5
522;2021;7;1069811;1069811
522;2021;8;1364147.5;1364147.5
522;2021;9;1281880.5;1281880.5
522;2021;10;1260726;1260726
522;2021;11;1345503.5;1345503.5
522;2021;12;1370280;1370280
523;2022;1;1296232;1296232
523;2022;2;1139033.5;1139033.5
523;2022;3;1369612;1369612
523;2022;4;1308736.5;1308736.5
523;2022;5;1306080;1306080
523;2022;6;1259296.5;1259296.5
523;2021;7;1336811;1336811
523;2021;8;1478851.5;1478851.5
523;2021;9;1317949;1317949
523;2021;10;1340664;1340664
523;2021;11;1430722.5;1430722.5
523;2021;12;1454993;1454993
601;2022;1;521189;521189
601;2022;2;521189;521189
601;2022;3;623932;623932
601;2022;4;611200;611200
601;2022;5;614763.5;614763.5
601;2022;6;595629.5;595629.5
601;2021;7;605179.5;605179.5
601;2021;8;466338.5;466338.5
601;2021;9;455611.5;455611.5
601;2021;10;449897;449897
601;2021;11;472793.5;472793.5
601;2021;12;483546;483546
602;2022;1;115151.5;115151.5
602;2022;2;115151.5;115151.5
602;2022;3;138169;138169
602;2022;4;136800;136800
602;2022;5;138287.5;138287.5
602;2022;6;155062.5;155062.5
602;2021;7;184022;184022
602;2021;8;184022;184022
602;2021;9;184022;184022
602;2021;10;184022;184022
602;2021;11;184022;184022
602;2021;12;184022;184022
603;2022;1;437573.5;437573.5
603;2022;2;437573.5;437573.5
603;2022;3;519498;519498
603;2022;4;493432.5;493432.5
603;2022;5;500896;500896
603;2022;6;502674;502674
603;2021;7;491192.5;491192.5
603;2021;8;395372;395372
603;2021;9;387733;387733
603;2021;10;382027.5;382027.5
603;2021;11;407954;407954
603;2021;12;418808.5;418808.5
604;2022;1;238775;238775
604;2022;2;238775;238775
604;2022;3;318543.5;318543.5
604;2022;4;319994;319994
604;2022;5;318647;318647
604;2022;6;305460;305460
604;2021;7;297697.5;297697.5
604;2021;8;259211;259211
604;2021;9;279263.5;279263.5
604;2021;10;285909.5;285909.5
604;2021;11;301437;301437
604;2021;12;297832.5;297832.5
605;2022;1;110035;110035
605;2022;2;110035;110035
605;2022;3;134639.5;134639.5
605;2022;4;127967;127967
605;2022;5;130214.5;130214.5
605;2022;6;129312.5;129312.5
605;2021;7;133360;133360
605;2021;8;147955.5;147955.5
605;2021;9;140852;140852
605;2021;10;141756.5;141756.5
605;2021;11;151812.5;151812.5
605;2021;12;156640;156640
606;2022;1;359155.5;359155.5
606;2022;2;359155.5;359155.5
606;2022;3;425373;425373
606;2022;4;406780.5;406780.5
606;2022;5;408112.5;408112.5
606;2022;6;395425.5;395425.5
606;2021;7;412958;412958
606;2021;8;369997;369997
606;2021;9;360043;360043
606;2021;10;358098.5;358098.5
606;2021;11;382046.5;382046.5
606;2021;12;392852.5;392852.5
607;2022;1;726969;726969
607;2022;2;488891.5;488891.5
607;2022;3;574384.5;574384.5
607;2022;4;533311;533311
607;2022;5;526008.5;526008.5
607;2022;6;509204;509204
607;2021;7;515187.5;515187.5
607;2021;8;687632.5;687632.5
607;2021;9;657115;657115
607;2021;10;641728.5;641728.5
607;2021;11;684724;684724
607;2021;12;694404;694404
608;2022;1;324897.5;324897.5
608;2022;2;286394.5;286394.5
608;2022;3;340561;340561
608;2022;4;321624;321624
608;2022;5;318383;318383
608;2022;6;312027;312027
608;2021;7;316012.5;316012.5
608;2021;8;346218.5;346218.5
608;2021;9;337000.5;337000.5
608;2021;10;330845.5;330845.5
608;2021;11;352723;352723
608;2021;12;366005.5;366005.5
609;2022;1;510067.5;510067.5
609;2022;2;383515.5;383515.5
609;2022;3;498577;498577
609;2022;4;474013.5;474013.5
609;2022;5;454198.5;454198.5
609;2022;6;447170.5;447170.5
609;2021;7;421891;421891
609;2021;8;506756;506756
609;2021;9;530870;530870
609;2021;10;525307;525307
609;2021;11;574384.5;574384.5
609;2021;12;586616.5;586616.5
610;2022;1;692278.5;692278.5
610;2022;2;531444.5;531444.5
610;2022;3;590144;590144
610;2022;4;506576.5;506576.5
610;2022;5;503745;503745
610;2022;6;495507;495507
610;2021;7;504875.5;504875.5
610;2021;8;704385;704385
610;2021;9;665959;665959
610;2021;10;642306.5;642306.5
610;2021;11;686974;686974
610;2021;12;712264;712264
611;2022;1;416959.5;416959.5
611;2022;2;352693;352693
611;2022;3;408766;408766
611;2022;4;363521;363521
611;2022;5;355429;355429
611;2022;6;350096;350096
611;2021;7;353295.5;353295.5
611;2021;8;434312.5;434312.5
611;2021;9;422706;422706
611;2021;10;425087.5;425087.5
611;2021;11;453218;453218
611;2021;12;471826;471826
613;2022;1;551269.5;551269.5
613;2022;2;487636.5;487636.5
613;2022;3;581804.5;581804.5
613;2022;4;588943.5;588943.5
